Annee,Mois,Date Debut,Date Fin,Duree Vague,No,Tmax enregistree,Intensite vague,Aire,Severite
1989,7,23-Jul-1989,27-Jul-1989,5,1,27.26666666666667,1.1066666666666678,6.916666666666671,2.7666666666666684
1991,7,17-Jul-1991,22-Jul-1991,6,1,27.7,1.2799999999999998,7.699999999999989,3.0799999999999956
2001,7,21-Jul-2001,25-Jul-2001,5,1,27.233333333333334,1.0933333333333337,5.583333333333329,2.2333333333333316
2001,8,01-Aug-2001,10-Aug-2001,10,2,27.900000000000002,1.3600000000000008,13.683333333333337,5.4733333333333345
2002,6,30-Jun-2002,05-Jul-2002,6,1,28.5,1.6,10.23333333333332,4.093333333333328
2002,8,11-Aug-2002,17-Aug-2002,7,2,28.00000000000001,1.4000000000000044,13.250000000000057,5.300000000000023
2005,6,10-Jun-2005,14-Jun-2005,5,1,27.53333333333333,1.2133333333333325,5.833333333333314,2.333333333333326
2010,7,04-Jul-2010,10-Jul-2010,7,1,29.333333333333343,1.9333333333333371,15.933333333333394,6.373333333333358
2011,7,20-Jul-2011,24-Jul-2011,5,1,27.999999999999996,1.3999999999999986,8.099999999999994,3.2399999999999975
2012,6,20-Jun-2012,23-Jun-2012,4,1,27.0,1.0,3.799999999999997,1.519999999999999
2012,7,13-Jul-2012,16-Jul-2012,4,2,27.066666666666652,1.0266666666666608,4.5666666666666345,1.8266666666666538
2013,7,14-Jul-2013,18-Jul-2013,5,1,27.399999999999995,1.159999999999998,7.149999999999977,2.859999999999991
